date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:19	385/385	---M-Z	200	added ('OK')	text/plain	date:Wed,%2016%20Apr%202025%2012:13:04%20GMT	https://www.manycolouredsky.org/robots.txt		(from )
10:52:19	81310/81310	---M-Z	200	added ('OK')	text/html	etag:W/%22c30e4c092036a84735694825d9bc7589--gzip%22	https://www.manycolouredsky.org/	/home/benz/website-copy/www.manycolouredsky.org/index.html	(from )
10:52:21	8459/8459	---M--	200	added ('OK')	image/svg+xml	etag:W/%227ac3aba5254bae61a284b0a18e982482%22	https://www.manycolouredsky.org/assets/ui-icons.svg	/home/benz/website-copy/www.manycolouredsky.org/assets/ui-icons.svg	(from https://www.manycolouredsky.org/)
10:52:23	56673/56673	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Apr%202025%2000:52:22%20GMT	https://www.manycolouredsky.org/cart	/home/benz/website-copy/www.manycolouredsky.org/cart.html	(from https://www.manycolouredsky.org/)
10:52:25	56498/56498	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Apr%202025%2000:25:42%20GMT	https://www.manycolouredsky.org/search	/home/benz/website-copy/www.manycolouredsky.org/search.html	(from https://www.manycolouredsky.org/)
10:52:26	62552/62552	---M-Z	200	added ('OK')	text/html	etag:W/%22b8172d895a3ae36b0918541e00be0f63%22	https://www.manycolouredsky.org/take-action	/home/benz/website-copy/www.manycolouredsky.org/take-action.html	(from https://www.manycolouredsky.org/)
10:52:28	64629/64629	---M-Z	200	added ('OK')	text/html	etag:W/%2207b03faefd751c1740adb055af527856%22	https://www.manycolouredsky.org/shop	/home/benz/website-copy/www.manycolouredsky.org/shop.html	(from https://www.manycolouredsky.org/)
10:52:31	60329/60329	---M-Z	200	added ('OK')	text/html	etag:W/%22ddc6e47a50a3195258461ce785ca974b--gzip%22	https://www.manycolouredsky.org/about	/home/benz/website-copy/www.manycolouredsky.org/about.html	(from https://www.manycolouredsky.org/)
10:52:33	65480/65480	---M-Z	200	added ('OK')	text/html	etag:W/%22e6618e795d3ef7557c23efc10b58ae20%22	https://www.manycolouredsky.org/what-we-do	/home/benz/website-copy/www.manycolouredsky.org/what-we-do.html	(from https://www.manycolouredsky.org/)
10:52:34	68038/68038	---M-Z	200	added ('OK')	text/html	etag:W/%22a061a619cca456ecd7ae47c72b241038--gzip%22	https://www.manycolouredsky.org/resources	/home/benz/website-copy/www.manycolouredsky.org/resources.html	(from https://www.manycolouredsky.org/)
10:52:36	59993/59993	---M-Z	200	added ('OK')	text/html	etag:W/%229e2ca9244901f96bd05ad8ce01999949--gzip%22	https://www.manycolouredsky.org/contact	/home/benz/website-copy/www.manycolouredsky.org/contact.html	(from https://www.manycolouredsky.org/)
10:52:38	64077/64077	---M-Z	200	added ('OK')	text/html	etag:W/%225a160e5dfc18c7f4e77aac46aea43c12%22	https://www.manycolouredsky.org/rainbow-to-refuge-for-queer-asylum-seekers-and-refugees	/home/benz/website-copy/www.manycolouredsky.org/rainbow-to-refuge-for-queer-asylum-seekers-and-refugees.html	(from https://www.manycolouredsky.org/)
10:52:40	93003/93003	---M-Z	200	added ('OK')	text/html	etag:W/%228062f51fcf1e5e6ff2f7452dc9b699fc--gzip%22	https://www.manycolouredsky.org/qraspaustralia	/home/benz/website-copy/www.manycolouredsky.org/qraspaustralia.html	(from https://www.manycolouredsky.org/)
10:52:42	64746/64746	---M-Z	200	added ('OK')	text/html	etag:W/%22ca1f0d01b4cdee833a45e773db6d3a61%22	https://www.manycolouredsky.org/indonesia	/home/benz/website-copy/www.manycolouredsky.org/indonesia.html	(from https://www.manycolouredsky.org/)
